story,amountRaised,goal,url,campaignTitle,numberContributors,currencyType
"Niko needs help Please help Niko fund a once and a lifetime trip to New York
  city. Niko has been accepted into the Blaine High School chamber
  choir this year. He will be a freshman this fall and has been an  A
  student thus far. We are hoping to fund his $500. deposit by September
  and another $500 by April. Niko's trip to N.Y. will include every
  attraction in the city you would want to visit, from the Statue of
  Liberty to the Empire state building. Please help us help him have
  this experience. Thank you for your support and love.      Sincerely,
  Niko and family",365,of $500 goal,https://fundrazr.com/8oTO6,Please help Niko experience New York,8,U.S. Dollar
"My twin sister Cyanne and I [Zia] are amazing, motivated 22-year-olds
  who are currently studying TAFE externally from home. We are both in
  electric wheelchairs with a condition called Muscular Dystrophy, which
  is a weakness of the muscles. Having been confined to wheelchairs
  since the age of eight, we have needed ongoing assistance with
  transport. Now, we use electric wheelchairs, which require more room
  than our original manual wheelchairs. A recent, new addition to the family, our baby brother Jayden, and
  ongoing mechanical and access issues with our current transport
  option, a 2003 Transit van, which was modified to accommodate the our
  needs, is in desperate need of replacement. Our existing van has become increasingly unreliable for both local,
  and travel to Adelaide. This means accessing specialist appointments
  has not been able to occur, due to no other transport options being
  viable. Our electric wheelchairs cannot be serviced locally so this is
  rapidly becoming a major issue with no reliable way of accessing
  services. Local travel, as a family group, is not an option, as there
  is no provision for a baby seat for Jayden in the van. The existing
  seatbelts are very cumbersome, compared with modern wheelchair
  restraints. Cyanne is currently unable to access the van without
  bending over, a very uncomfortable position to be in, as her head
  extends above the height of her wheelchair. There are also issues with
  the current access ramp, which extends out the back of the vehicle,
  regarding both of our safety, as we are deposited on the road. As we
  have grown, we are no longer able to see out the windows, which
  certainly makes for an uncomfortable and boring trip. The time has definitely arrived to look at replacing the van with a
  more up to date version that can be modified to suit the changed needs
  of my sister and me and including our family. We have researched the
  many options that are currently available and have found a suitable replacement. The Renault Trafic vehicle with CAPITAL PLUS+, has many features that
  are necessary for safe transport of all family members including: Renault LWB L2H1 Trafic Integral with AUTOMATIC transmission Dual Air conditioning Windows in rear area x4 Rear floor covering and interior trimmings Slip resistant vinyl flooring (in wheelchair area) for
    easy cleaning and wheelchair manoeuvrability Lowered floor, side door entry design providing quick and
    easy access for all passengers Manual slide out ramp system Seating for 4 passengers, plus driver Single front
    passenger seat One removable & relocatable middle
    seat Two single fixed rear seats Two wheelchair positions with one tie-down and occupant
    seat belts Base Vehicle Price:      $40,301.75 inc GST + ORC Conversion
  Price :       $52,309.40 Total Price :                $92,611.15 * Price does not include registration,
    statutory charges or delivery (if applicable). This is the cost that we are seeking your assistance in funding, in
  part or the whole cost, as it is currently beyond our financial means.
  We are both deserving recipients of your support and would benefit
  enormously from the provision of an upgraded van that accommodates our
  current needs to give us access to the everyday pleasures others, who
  are not wheelchair bound, enjoy with family. If you can help in any way possible, it would be greatly appreciated.",500,of $92.6k goal,https://fundrazr.com/cng8d,Help Cyanne and Zia raise money for a new van,6,Australian Dollar
"""Once a year, go someplace you've never been before.""
    -Dalai Lama Have you ever had a moment when you were awake but felt like you were dreaming? I've had a dream of traveling to West Africa, playing and laughing
  with the children, spending time in local communities and schools
  teaching photography, help them fight illiteracy, and educate ways for
  a better health and wellness. All the while, learning so much from them. With your help, we can make this dream come true!  Being a cancer
  survivor, I have always felt limited when it came to achieving goals
  and dreams. It took some time to overcome that. There have been
  numerous difficult times accomplishing them with hearing and vision
  disabilities. With this being my second time traveling to Africa, and
  my 4th time out of country, I now feel ready to take on this endeavor
  independently, but made possible with your financial support. This is
  a fundraiser for a summer photographic excursion to Dakar, Senegal and
  Brikama, Gambia summer 2014 documenting the West African culture,
  lifestyle, food, music, beautiful people, energetic children, the
  natural wonders, and history of the countries. In addition to giving
  back by teaching my expertise with the Always Friends Kids Club in
  Dakar. I will also volunteer with Women's Federated Nursery School in
  Brikama, Gambia, while participating with the local girls' and boys'
  soccer team on the weekends. I will share the stories of the people I
  meet along the way for a photo exhibit and a short film, upon my
  return and with my contributors during the trip. While there, I will
  take advantage of the opportunity to be with friends and family whom I
  have not seen in a while or have not personally met.  It is a blessing
  and allows even closer interactions, that they will host me while in town. The first time traveling to Africa was to Ghana in 2011 with the
  organization called Operation Crossroads Africa, where 10 participants
  including myself, spent two months with a home stay family. We were
  volunteer teachers, health advocates, and construction workers,
  building a clinic in a local village. It was such a great experience!
  To see some of the photos from Ghana, West Africa, please visit My Flickr Page . ""If you had one shot, one opportunity to seize everything
    you've ever wanted, in one moment, would you capture it or let it
    slip?"" -Eminem Hopefully after viewing the link, you are inspired to be a part of
  this ever learning and ever growing journey with me. When you donate,
  you will get to travel along with me, with a link to a blog that will
  be created for this trip, that includes very descriptive details of my
  days, to the point where you will feel like you are there with me. You
  can also receive access to a limited edition photo book, prints of
  your choice, whether it is of children, the landscapes, the cultural
  events, or even animals, in addition to an exclusive first look into
  a photo exhibit from my travels. The travel budget is $5,000 for 30 days. Your contribution will help
  with gifts for the host families and some students, disposable cameras
  for the children, leisure activities, and local transportation. Any donation amount means so much to me! Knowing you support
  this endeavor brings me such joy & happiness! You can donate through this website, or gift donatations can be made
  directly to paypal on its website under the Send tab using my email: nayyarphotography@gmail.com Thank you so much for your generosity and your time! Sincerely, Zaakirah Nayyar Portrait Photographer",735,of $5k goal,https://fundrazr.com/9j9S3,Going Back to Africa! Senegal & The Gambia,15,U.S. Dollar
"College is one the only times you can just get up and leave to study
  abroad with no obligations other than learning and being immersed in
  another culture. The only problem is us college kids are rather low on
  funds, which is why I am asking for you help. I've been accepted into
  a facutley-led program here at Northern Arizona University to
  study abroad in Athens and Santorini, Greece. To have this oppertunity
  is a chance of a life time and I can only hope to raise enough
  money. While I am trying to apply for scholarships, those are not
  always promised. I hope to be able to raise some money on this site
  with the help of those generous people who I will be grateful to for forever. If you prefer to send a check, feel free to contact me about
  information! :)",330,of $5k goal,https://fundrazr.com/9gKQd,Help me study abroad!,5,U.S. Dollar
"Do you believe young Americans will make all the difference in
    restoring our great country? I do. That is why I am excited
  and motivated to get out and about to cover upcoming events this year
  and spread knowledge and awareness with a focus on reaching my fellow youth. With your support, I am planning to attend the Republican Leadership Conference in New Orleans
  on May 29-31 and the Faith & Freedom Coalition's Road to Majority in Washington D.C. on June 19-21. While I'm at these conferences you can expect all day coverage on
  social media, including news, photos and commentary via Facebook and
  Twitter. I will be conducting interviews, doing live radio with the
  Wayne Dupree Show, networking with fellow patriots and sharing my
  experiences and perspective with you via WayneDupree.com and my blog ConvictionsofFaith.com . Please consider donating to help me with my travel expenses. Here is
  an overview of how I intend to spend the money I raise: Flights $400 Meals $150 Lodging $700 Thank you so much for your time and consideration. Please know that I
  am greatly appreciative of whatever support you can provide, and I
  look forward to sharing my experiences with you!","1,490",of $1.3k goal,https://fundrazr.com/2jTEa,Help Alyssa with Conference Travel Expenses,16,U.S. Dollar
"Hi!! Thank you so much for visiting my fundraising page. I am
  planning a solo trip to Canada in late May and I would love to be able
  to raise some funds for it. It turns out the flight and hotel are
  gonna be kinda pricey, so anything you can share is much appreciated!!
  Let me know (ahead of time) if there is anything I can do in exchange.
  Thanks so much!!! :)",290,of $1.8k goal,https://fundrazr.com/9isJ9,Trip to Canada!,5,U.S. Dollar
"I recently signed a contract to play in Bareclona, Spain! I have to
  do my own relocation expenses.  I would love your help with moving.
  Thank you in advance!",210,of $1k goal,https://fundrazr.com/3i2j1,Moving to Spain,3,U.S. Dollar
"The chance to travel to Ghana is a once in a lifetime oppurtunity!
  Lucky for me I was accepted into the program to go during my spring
  break in March. While in Ghana I will have the ability to learn about
  the Ghanian culture, as well as the health and industry. The purpose
  of me traveling to Ghana is to expand my horizons and help the ones in need! I have fallen a little short of the total cost. BUT there is still
  hope! The university has given me an extended deadline to pay
  the total amount! I am doing another fundraiser in hopes to reach my
  new goal of $1500! Please spread the word to family and friends!",385,of $1.5k goal,https://fundrazr.com/8hLVb,Ghana Trip in 3 Weeks!,11,U.S. Dollar
"Earthship Salt Lake City, Utah workshop: April 19th. Lets send out our best scout to learn all about the realities of
  making an Earthship right here in Northern Arizona! Anything helps, even a dollar-- $100.00 is
  even better. Funds will be collected in March, so we only have one month to
    get him there, donate today!!",210,of $300 goal,https://fundrazr.com/3h3J6,Send Cager to Utah!,9,U.S. Dollar
"Since 2001, I have taken hunderds of participants to the continent of
  Africa. Primarily, I focus on providing international opportunities
  for disadvantaged inner-city DC public high schoolers. I created a
  school club called Club Afrique, the Africa awareness club. Through
  Club Afrique, I teach and promote African Studies (Culture and
  History) at the k-12 level. Past destinations have been to Egypt, France, Italy, Gabon, Gambia,
  Senegal, and Spain. This spring, Club Afrique is planning a 10-day
  tour to Gabon via Paris. It is my aim to raise 50% of the funds for 10
  students. My budget to do this is $15,000. We have had our annual car parking fundraiser during the Howard
  University's Homecoming, our 5k Walk/Run, and ongoing candy sales. We
  just kicked off our $1 Raffle. This year's prize is an Apple iPad Mini 16GB. Would you please join me in my effort to take my students to Africa
  this spring break? I need your help to do so. Please give what you
  can. No gift amount would be too small or too large. What an awesome
  cause to give the gift of travel!",350,of $15k goal,https://fundrazr.com/9epCe,"CLUB AFRIQUE Tour to Gabon, Central West Africa!",3,U.S. Dollar
"The Gregraiser This summer, The One Piece Podcast was able to put together a
  successful Kickstarter to bring Zach and Greg to Japan to interview
  the current editor of One Piece, a director of the One Piece
  animation, visit major One Piece events around the country, and visit
  Eiichiro Oda's hometown. The OPPJapan will have its world premiere at Anime Boston on March
  21st at 4:00pm ET, and we want to bring the star of the show there! Greg is currently a writer for the popular Japanese magazine V-Jump and one-piece.com, an official site run by Shueisha and
  Toei Animation, amongst others. He is immediately recognizable to any
  One Piece fan in Japan for his appearances on the hit television show
  Hoko x Tate and for his myriad of work with the creators of the series. Those that donate to help bring Greg will get access to all the
  exclusives that Kickstarter supporters got, including
  behind-the-scenes videos, and of course, videos of the AnimeBoston
  panels and events! In addition, we will read your names on the
  podcast. For those that donate above $200, we will have you on the
  podcast for a segment and for those that donate above $400 we will
  have you on for the whole show! Money only goes to Greg's flight costs. If we do not reach the goal, money raised will be put to ongoing
  server costs or to bring the podcast to a convention of the donee's
  choice. Thank you so much for your support again, and let's get Greg
    to his first anime convention ever ! The One Piece Podcast: http://onepiecepodcast.com #OPPJapan Trailer: https://www.youtube.com/watch?v=U90dokuzORM Kickstarter: https://www.kickstarter.com/projects/1617753975/the-one-piece-podcast-goes-to-japan?ref=live","1,550",of $1.3k goal,https://fundrazr.com/chwa2,Bring Greg to the OPPJapan Premiere in Boston!,42,U.S. Dollar
,250,of $500 goal,https://fundrazr.com/9iUfc,Help Anne & Matt Relax in Las Vegas!,2,U.S. Dollar
"I recently got offered a accounting position with the department of
  corrections and rehabilitation in PASO ROBLES, California! Due to the
  entry level position, I am having to do my own relocation expenses! I
  would love your help in pursuing my first step of my career! Thank you
  in advance!",190,,https://fundrazr.com/3heXa,Starting my career in Cali!!!!,,
I have till the end of the year to see if this target is achievable. Up and running at long last. Thank you to the two sponsors so far.,343,of £6k goal,https://fundrazr.com/0FZ22,Everest Dream - Ellis J Stewart,12,Pound Sterling
"Hello Friends! For those of you who know me better, I have been trying for two years
  to get into the field of production; I never expected it to happen so
  fast and so suddenly. Moreover I had no idea it'd need me to travel
  across the nation to the west coast. Well it has! We need to pack up and leave in a month for my new
  job; the downside? The expenses are a bit too neck to neck with what
  we have saved up. Hence why I am trying to get help from family and friends. It would mean a great deal to us! And you know me, I will make up for
  it in one way or another. I'd crochet socks for you! ;) Anyhow, This money will go towards renting an apartment out
  there (plus deposit) and be able to have a roof over our heads before
  we both have to jump into the fulltime hours again. And this will help
  keep my cats safe as well! Thank you to those who will help, and those who don't/can't,
  it's totally fine. :) - Sunny and Matt (+Novi and Kida)",155,of $2k goal,https://fundrazr.com/8hpya,Help Sunny and Matt Make it To The West Coast!,8,U.S. Dollar
"We're almost there! Help us raise Zoe's final payments for her
  Chorale tour of Italy in June! The opportunity of a lifetime, for a great kid who has worked hard
  for the opportunity.  The nationally and internationally acclaimed
  Colorado Springs Children's Chorale will be touring Italy in June and
  July, performing at numerous stops around the country, including a
  Mass at Saint Peter's Basilica in Vatican City.  They go to share
  their message of music and kids, and friendship through music.  Being
  a part of this trip is a dream and an honor for Zoe, who has been
  performing with the Chorale for three years, and will be one of the
  youngest members making the trip. Zoe has ancestral family in Italy,
  making this trip even more special to her and her family. Any excess funds raised will be used to help other members of
  Children's Chorale who need help making final payments, or simply
  donated to the Colorado Springs Children's Chorale, a fantastic
  nonprofit organization, to help them continue teaching and creating
  young vocalists.   Zoe will be presenting the final payment herself,
  and any excess monies will be donated in the name of Friends of Zoe
  Chavez.  Thanks so much for reading, and for supporting a great kid,
  and a great cause! In Zoe's own words: Hi, I am Zoe, and I am a normal 11 year old kid. Children's Chorale
  is the most important part of my life. Chorale has already allowed me
  to have some wonderful experiences that I hope to keep with me
  forever. As a part of Chorale, I have already been many places that I
  probably would not have visited on my own, like Aspen, Colorado, and
  Bardstown, Kentucky. I have also met people from Fujiyoshida, Japan.
  They were so nice, and taught me so many things that I didn’t know
  about their country and culture. I even learned how to write my name
  using calligraphy! Later this year, I get to have an experience that most kids my age
  could never dream of having! I am going to Italy in late June to
  spread our message of song and music to people on a completely
  different side of the world. But besides the amazing traveling
  opportunities, and great people I get to see and meet, there is much
  more to Chorale than just that for me. To me, Chorale isn’t just a group of kids. Chorale is a big family of
  people who all share the same passion, a love of music. I don’t have
  any siblings, but Chorale is where I have the chance to have a great
  big group of brothers and sisters. If I am having a bad day, I know
  that when I walk into the practice room at Chorale, my sadness will
  just float right off of me, because music is the best thing ever! That
  is what being a part of Chorale means to me. Thanks for reading, and
  thanks for helping me out! Love, Zoe",555,of $500 goal,https://fundrazr.com/5iQjb,Zoe is going to Italy to sing with the Chorale!,9,U.S. Dollar
"Hey Family and Friends! As most of you know, I am currently attending  Northpoint Bible
  College to major in World Missions. This summer my internship for
  school is in Malawi, Africa.  While in Malawi, I will work in
  different churches and be speaking to many of the teens about God. I
  will also visit many poverty-stricken villages and orphanages during
  my stay to help in any way that I am needed. This trip will last two
  months. I will be leaving June 1,2014 and returning on August 1,2014. The cost of my trip will be about $5,000. As you know that is a lot
  to raise in a few months. If you could in any way donate to my trip, I
  would greatly appreciate whatever amount God lays on
  your heart. I will need to raise all my funds by May of 2014 in order
  to pay for airline tickets and other items.You can donate here online
  or make checks payable to Love and Truth Community Church. On the
  check please indicate that it is for my Malawi trip. If you feel more
  comfortable to send me a check personally, you can also do that. My address is: Victoria Hebert Northpoint Bible College 320 South Main Street Haverhill, Ma 01835 If you are unable to donate, I ask that you will join with me in
  prayer that God will continue to prepare me for this trip and will
  bless my efforts to reach the people of Africa. I am excited to see
  how God provides for me as I know it will be a testimony of God’s love
  and provision that I will never forget. Whether you feel led to
  contribute financially, through prayer, or both, all of your support
  is appreciated. Thank you and God Bless! :) Victoria Hebert",670,of $5k goal,https://fundrazr.com/ciK40,Malawi Internship!,4,U.S. Dollar
"Kaylee is a remarkable student and has the opportunity to go to
  Europe next summer and will be able to use it for High School credit
  as well as on her college applications.  She is highly motivated to
  earn as much as she can so that she can go.  Any help from family and
  friends is greatly appreciated.  Thank you on behalf of Kaylee for all
  your love and support.  I truly believe she deserves to have this
  opportunity to travel to Europe with other students.",145,of $7k goal,https://fundrazr.com/6bsf9,Help Kaylee get to Europe!,4,U.S. Dollar
"I have the opportunity to tour in Spain with an orchestra this June! I was recently asked to re-join my youth orchestra because they were
  in dire need of a harpist for their next concert. However, joining for
  the next concert series meant committing to all of the concerts --
  including the ones they will be performing on tour in Spain! I was
  able to get a scholarship, but I still need a little help. Here is a link to the Greater Twin Cities Youth Symphonies, which is
  the organization that put this trip together. I am a visiting alumna
  in the Symphony orchestra. I participated as a member for two years in
  high school. They have orchestra programs year-round for all skill
    levels. http://www.gtcys.org/ This link will take you to our (tentative) itinerary: http://www.gtcys.org/wp-content/uploads/2013/05/GTCYS-Spain-Itinerary-Tentative1.pdf Your help would mean (a trip across) the world to me! One of the places we will be touring on the trip is the Alhambra
  Palace in Granada.",270,of $875 goal,https://fundrazr.com/fimy0,Orchestra tour in Spain,6,U.S. Dollar
"Merrick & Morrison Fowlks have the chance to see The Big Apple!
  If everyone that can, donates just a little, the twins will be able to
  go to New York City!  It will be a chance of a lifetime.  They would
  be going with their Theater group, seeing 2 Broadway shows, and
  visiting all the New York landmarks.  I wish I had this chance when I
  was 13!!!!!  We can't do it without our friends!",310,of $3k goal,https://fundrazr.com/4ivtc,BIG chance to see BIG Apple,4,U.S. Dollar
"This account is set up for me to try and get help from my friends,
  family, and really anyone, that would like to help me get across the
  country backpacking. I have left my job and will be leaving 3/21/14 to
  start my 8000 mile jounry across America to stop at some of the
  national parks and see what our country has to offer! I need my dear friends and familys help to make this journey to help
  with food and camping fee's. I know this is no life or death journey
  and not as important as really any other donation sites. Yet, I am
  asking for your help and anything from as little as ten dollars would
  be greatly appericated! Thank you, and love David Porter your friend. :) WISH ME LUCK",150,of $2k goal,https://fundrazr.com/4ihoc,Help David Go 8000 miles across the Country!,5,U.S. Dollar
"Dear friends, please can i ask for your help by way of sharing and of
  course donations. #Thesse Puppies were saved in #Romania! They now need help to get them transported to the U.K on the 28th
  March is the date we have ALL been waiting for. Lots of dogs are currently being killed in the Public Shelters in
  Romani right now,so these pups are one of the lucky few to have a
  chance of a future. Please help me to get them safe and finally in a loving home of which
  until now they would have never known. Donations to be made by also via paypal account: marlene_horn@hotmail.com Every pound goes towards these puppies to save them! and every pence
  will be accounted for! The story for these pups is they were born in a used factory,
  they were in huge danger ..hated by the locals, treated worse than
  virmin and not the sweet pups as they truly are. With no food, no
  water and no bedding,  noone there to care for them them! They slept outside in the cold and snow.. freezing at night and being
  chased away during the day! Now they are safe, but without your help i am unable to help them
  alone, please share and donate no matter how small everything goes to
  there care. Thank you",345,of £400 goal,https://fundrazr.com/2hiSd,Help Get these Pups to the U.K,19,Pound Sterling
